Wikipedia_movie_ID,title,Movie_genres,Movie_year_released,averageRating,numVotes,e_count,i_count,extro_proportion,number of characters,extroverted_bin,treatment,Propensity_score
716738,meet joe black,"['Mystery', 'Romance Film', 'Drama', 'Fantasy', 'Romantic fantasy', 'Romantic drama', 'Heaven-Can-Wait Fantasies']",0.23425896539817734,7.2,0.4450347663070639,1,4,0.2,5,"(0.158, 0.211]",0,0.6155246367593074
454655,the wedding singer,"['Comedy', 'Romance Film', 'Romantic comedy', 'Period piece', 'Music']",0.23425896539817734,6.9,0.05711159215400136,3,2,0.6,5,"(0.579, 0.632]",1,0.6192539069324331
5057034,mixed nuts,"['Comedy', 'Black comedy', 'Screwball comedy']",-0.008186246937664047,4.4,-0.5673706203266403,4,3,0.5714285714285714,7,"(0.526, 0.579]",1,0.6292036061684556
171051,the fisher king,"['Comedy', 'Drama', 'Indie', 'Fantasy', 'Fantasy Comedy', 'Comedy-drama', 'Buddy film']",-0.19002015618954507,7.5,-0.2163430930560893,3,1,0.75,4,"(0.737, 0.789]",1,0.6288459968290397
675790,teen wolf,"['Comedy', 'Horror', 'Cult', 'Parody', 'Coming of age', 'Fantasy', 'Fantasy Comedy', 'Teen', 'Family Film']",-0.5536879746933071,6.1,-0.33881887293233154,4,0,1.0,4,"(0.947, 1.0]",1,0.6359341900639941
2976107,the italian job,"['Action', 'Action/Adventure', 'Drama', 'Thriller', 'Crime Fiction', 'Crime Thriller', 'Remake']",0.5373154808179791,7.2,-0.3741067721507745,1,4,0.2,5,"(0.158, 0.211]",0,0.618379677490728
378213,scanners,"['Horror', 'Cult', 'Action', 'Psychological thriller', 'Science Fiction', 'Indie']",-0.7961331870291485,6.7,-0.330921647853814,1,3,0.25,4,"(0.211, 0.263]",0,0.6397878584809388
3444797,conan the barbarian,"['Costume drama', 'Action', 'Action/Adventure', 'Thriller', 'Sword and sorcery', 'Sword and sorcery films', 'Fantasy Adventure', 'Fantasy', 'Adventure']",-0.7355218839451881,6.9,0.05696614798879223,7,4,0.6363636363636364,11,"(0.632, 0.684]",1,0.6351573145511129
33757147,seven psychopaths,['Comedy'],1.082817208573622,7.1,0.49305492636638204,0,2,0.0,2,,0,0.6008781306639905
4453691,blood diamond,"['Action', 'Action/Adventure', 'Thriller', 'Drama', 'Private military company', 'War film', 'Political drama', 'Crime Fiction', 'Adventure', 'Tragedy']",0.7191493900698601,8.0,1.690626459004849,1,1,0.5,2,"(0.474, 0.526]",1,0.5952939283139602
5971538,28 weeks later,"['Doomsday film', 'Horror', 'Thriller', 'Plague', 'Science Fiction', 'Zombie Film', 'Sci-Fi Horror']",0.7797606931538205,6.9,0.5648846893627737,0,1,0.0,1,,0,0.605266414732819
600008,steel magnolias,"['Drama', 'Ensemble Film', 'Domestic Comedy', 'Family Drama', 'Family Film', 'Medical fiction']",-0.3112427623574658,7.3,-0.32720299433252104,4,3,0.5714285714285714,7,"(0.526, 0.579]",1,0.6318783022042965
3028191,a nightmare on elm street,"['Mystery', 'Horror', 'Cult', 'Indie', 'Teen', 'Supernatural', 'Slasher']",-0.6142992777772674,7.4,0.4416974123540219,5,1,0.8333333333333334,6,"(0.789, 0.842]",1,0.6295406549651327
1690432,jeepers creepers,"['Monster movie', 'Horror', 'Cult', 'Mystery', 'Road-Horror', 'Teen', 'Supernatural']",0.41609287465005834,6.7,-0.5664429224080091,1,1,0.5,2,"(0.474, 0.526]",1,0.6222257601457394
676038,short cuts,"['Comedy', 'Drama', 'Ensemble Film', 'Indie', 'Film adaptation']",-0.0687975500216244,7.7,-0.38382401475609823,9,9,0.5,18,"(0.474, 0.526]",1,0.6284523473948038
99123,speed,"['Action', 'Action/Adventure', 'Thriller', 'Crime Fiction', 'Adventure']",-0.008186246937664047,7.9,-0.5675199954152335,1,1,0.5,2,"(0.474, 0.526]",1,0.6292050244716098
1958425,red eye,"['Suspense', 'Action', 'Thriller', 'Psychological thriller']",0.6585380869858998,6.1,-0.5674688934112411,0,1,0.0,1,,0,0.6182303016225916
2032945,match point,"['Romance Film', 'Drama', 'Thriller', 'Sports', 'Crime Fiction', 'Romantic drama']",0.6585380869858998,8.0,-0.5674924789515453,1,3,0.25,4,"(0.211, 0.263]",0,0.6182305281715407
450634,pleasantville,"['Comedy', 'Drama', 'Dystopia', 'Fantasy', 'Period piece', 'Family Drama', 'Family Film']",0.23425896539817734,5.9,-0.5673431038629522,3,5,0.375,8,"(0.368, 0.421]",0,0.6252274522442807
1766274,superstar,"['Comedy', 'Teen']",0.29487026848213765,5.6,-0.5674138604838647,2,1,0.6666666666666666,3,"(0.632, 0.684]",1,0.624231484925247
4446490,it takes two,"['Comedy', 'Family Film']",0.0524250561462963,7.1,-0.5671740741574388,1,1,0.5,2,"(0.474, 0.526]",1,0.6282093813315922
17665499,the fall,"['Adventure', 'Fantasy', 'Drama', 'Period piece']",0.7191493900698601,7.1,-0.5671504886171346,0,2,0.0,2,,0,0.6172233815740961
71975,hellraiser,"['Monster movie', 'Horror', 'Cult', 'Thriller', 'Supernatural', 'Slasher']",-0.4324653685253865,6.9,-0.02909748858117434,2,3,0.4,5,"(0.368, 0.421]",0,0.6310335721595941
